imagename,sizeImage,panelsOnImage,box_id,sizeBox,IoU,PanelSize,Front,Night,Occluded
test_images/image199.jpg,"(303, 500)",1,0,"(0, 0)",0,-1,0,0,0
test_images/image164.jpg,"(2250, 3000)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image202.jpg,"(364, 626)",1,0,"(228, 136)",0.7985837922895358,0.12165151142786926,0,0,0
test_images/image110.jpg,"(533, 800)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image175.jpg,"(480, 700)",1,0,"(175, 95)",0.9482699554642001,0.050458333333333334,0,0,0
test_images/image253.jpg,"(808, 1024)",1,0,"(491, 290)",0.7544677803500941,0.20786156984839108,1,0,0
test_images/image47.jpg,"(2592, 1936)",1,0,"(1645, 809)",0.8535447850773387,0.31074954086317724,1,0,0
test_images/image106.jpg,"(440, 660)",1,0,"(45, 89)",0.0,0.014132231404958678,1,0,1
test_images/image21.jpg,"(600, 800)",1,0,"(471, 318)",0.9160754919020212,0.34070833333333334,1,0,0
test_images/image52.jpg,"(1600, 900)",1,0,"(775, 387)",0.827010707832926,0.1722,1,0,0
test_images/image123.jpg,"(960, 1280)",2,0,"(0, 0)",0,-1,1,0,1
test_images/image123.jpg,"(960, 1280)",2,1,"(0, 0)",0,-1,1,0,1
test_images/image28.jpg,"(753, 1004)",1,0,"(344, 236)",0.9509793312412077,0.1057112850060581,1,0,0
test_images/image179.jpg,"(683, 616)",1,0,"(262, 158)",0.874633527326828,0.10322108345534407,0,0,0
test_images/image102.jpg,"(533, 800)",1,0,"(0, 0)",0,-1,1,0,1
test_images/image166.jpg,"(500, 889)",1,0,"(233, 135)",0.8595242229553742,0.0721259842519685,0,0,0
test_images/image26.jpg,"(753, 1004)",1,0,"(399, 232)",0.8993540217832164,0.12983127251948381,1,0,0
test_images/image83.jpg,"(2191, 2009)",1,0,"(1951, 961)",0.9114528379080906,0.41973783424157696,1,0,0
test_images/image147.jpg,"(669, 800)",1,0,"(318, 147)",0.9177972224452116,0.08946188340807175,0,0,0
test_images/image30.jpg,"(480, 640)",1,0,"(262, 137)",0.7506582945108365,0.10572916666666667,1,0,0
test_images/image167.jpg,"(375, 667)",1,0,"(0, 0)",0,-1,0,0,0
test_images/image255.jpg,"(683, 1024)",1,0,"(488, 319)",0.8478279870640678,0.2586532302342606,0,1,0
test_images/image49.jpg,"(2000, 1333)",1,0,"(1007, 450)",0.9164588178639838,0.16183795948987248,0,0,0
test_images/image18.jpg,"(1200, 1800)",1,0,"(675, 358)",0.8981877551020409,0.10249351851851851,1,0,0
