imagename,sizeImage,panelsOnImage,box_id,sizeBox,IoU,PanelSize,Front,Night,Occluded
image44.jpg,"(753, 1004)",1,0,"(390, 257)",0.8943803263652692,0.12799796828621768,1,0,0
image7.jpg,"(1339, 1004)",1,0,"(475, 655)",0.6088451954311652,0.3804304812118219,1,0,0
image237.jpg,"(640, 960)",1,0,"(302, 277)",0.7665515053232743,0.10673014322916667,1,0,0
image34.jpg,"(414, 620)",1,0,"(154, 98)",0.8011799718059834,0.07350786972105346,1,0,0
image240.jpg,"(326, 516)",2,0,"(161, 131)",0.6640478862701085,0.08298259380796119,1,0,0
image240.jpg,"(326, 516)",2,1,"(169, 239)",0.0,0.014731060065629905,1,0,0
image228.jpg,"(900, 1200)",1,0,"(502, 314)",0.7430906623749566,0.10837037037037037,0,0,0
image170.jpg,"(1080, 1920)",1,0,"(394, 657)",0.812004332304886,0.11944444444444445,1,0,0
image114.jpg,"(940, 2000)",1,0,"(300, 190)",0.7779601341020353,0.036546808510638296,0,0,0
image6.jpg,"(1936, 2592)",1,0,"(678, 284)",0.6923683773459558,0.034360532407407406,0,0,0
image177.jpg,"(2000, 3000)",1,0,"(1167, 698)",0.8218589143659335,0.11281783333333334,0,0,0
image30.jpg,"(480, 640)",1,0,"(246, 163)",0.810950923274415,0.10572916666666667,1,0,0
image120.jpg,"(533, 800)",1,0,"(304, 194)",0.6832282471626734,0.09427767354596622,0,0,0
image245.jpg,"(509, 980)",1,0,"(277, 321)",0.0,0.06303476203841064,1,0,0
image245.jpg,"(509, 980)",1,1,"(180, 137)",0.7852741448692153,0.06303476203841064,1,0,0
image9.jpg,"(1339, 1004)",1,0,"(853, 656)",0.8553284926516456,0.3559325059731202,1,0,0
image257.jpg,"(683, 1024)",1,0,"(0, 0)",0,-1,0,0,0
image227.jpg,"(675, 900)",1,0,"(355, 256)",0.8480304288899576,0.1267901234567901,1,0,0
image84.jpg,"(370, 457)",1,0,"(286, 229)",0.764475079533404,0.2957478266012183,1,0,0
image174.jpg,"(918, 1632)",1,0,"(783, 354)",0.5191865478585801,0.09592464436755094,0,0,0
image224.jpg,"(814, 1200)",1,0,"(294, 494)",0.7294692294785511,0.13466113841113841,1,0,1
image47.jpg,"(2592, 1936)",1,0,"(1382, 905)",0.766194890816872,0.31074954086317724,1,0,0
image145.jpg,"(767, 1366)",1,0,"(293, 188)",0.775946110622165,0.04667841278507085,1,0,0
image53.jpg,"(1339, 1004)",1,0,"(1035, 594)",0.6821809805003082,0.311814727646546,1,0,0
image119.jpg,"(580, 845)",2,0,"(198, 130)",0.7720907263042788,0.04864925525402979,1,0,0
image119.jpg,"(580, 845)",2,1,"(0, 0)",0,-1,1,0,0
image122.jpg,"(480, 640)",1,0,"(223, 160)",0.9316909294512878,0.1171875,1,0,0
image31.jpg,"(425, 640)",1,0,"(218, 124)",0.6127329527092534,0.06349264705882353,1,0,0
image73.jpg,"(887, 903)",1,0,"(884, 553)",0.7913683738195761,0.48282625496122783,1,0,0
image55.jpg,"(611, 635)",1,0,"(287, 214)",0.415600247858182,0.3800559299972937,1,0,0
image185.jpg,"(650, 1170)",1,0,"(397, 237)",0.9614365862306297,0.12193819855358316,0,1,0
image205.jpg,"(428, 805)",1,0,"(242, 158)",0.5844397856976473,0.0646427120218262,0,0,0
image239.jpg,"(562, 1000)",1,0,"(257, 192)",0.7955405216068533,0.07029893238434164,1,0,0
image70.jpg,"(748, 729)",1,0,"(497, 340)",0.7858872011980228,0.2689017994028887,1,0,1
image217.jpg,"(485, 738)",1,0,"(235, 177)",0.7277930186358906,0.08573743469393456,1,0,0
image210.jpg,"(853, 1280)",1,0,"(351, 95)",0.5681092070868429,0.04771303487690504,0,0,0
image137.jpg,"(683, 1024)",1,0,"(282, 270)",0.7158705180060085,0.07830515647877014,1,0,0
image137.jpg,"(683, 1024)",1,1,"(376, 393)",0.0,0.07830515647877014,1,0,0
image115.jpg,"(506, 900)",1,0,"(0, 0)",0,-1,1,0,0
image76.jpg,"(480, 521)",1,0,"(336, 212)",0.8918794667112467,0.2539067498400512,1,0,0
image171.jpg,"(683, 1181)",1,0,"(253, 402)",0.7558833365602943,0.11966556867334555,0,0,0
image253.jpg,"(808, 1024)",1,0,"(629, 353)",0.7750336292709175,0.20786156984839108,1,0,0
image161.jpg,"(2472, 3296)",1,0,"(1023, 627)",0.6403575338375797,0.0503815058755145,1,0,0
image93.jpg,"(630, 1444)",1,0,"(223, 182)",0.6196263377471432,0.07215077166600713,1,0,0
image127.jpg,"(400, 533)",1,0,"(106, 49)",0.6949012021555894,0.03157598499061914,0,0,0
image196.jpg,"(902, 1366)",1,0,"(240, 176)",0.8031287101054543,0.02793450701710531,1,1,0
image252.jpg,"(1024, 683)",3,0,"(0, 0)",0,-1,0,1,1
image252.jpg,"(1024, 683)",3,1,"(0, 0)",0,-1,0,1,1
image252.jpg,"(1024, 683)",3,2,"(0, 0)",0,-1,0,1,1
image175.jpg,"(480, 700)",1,0,"(139, 99)",0.7556505116383673,0.050458333333333334,0,0,0
image104.jpg,"(551, 980)",1,0,"(169, 136)",0.0,0.027378791807103967,1,0,0
image104.jpg,"(551, 980)",1,1,"(105, 95)",0.677090957482201,0.027378791807103967,1,0,0
image157.jpg,"(674, 1200)",1,0,"(254, 199)",0.8249357035407534,0.0758160237388724,1,0,0
image133.jpg,"(1225, 1838)",1,0,"(584, 405)",0.6634592818587186,0.08299704647909219,1,0,0
image111.jpg,"(533, 800)",1,0,"(155, 58)",0.5724374628737378,0.033689024390243905,0,0,0
image43.jpg,"(1600, 1200)",1,0,"(613, 916)",0.7985787214988028,0.254125,1,0,0
image59.jpg,"(553, 523)",1,0,"(408, 344)",0.7589577793507164,0.46324757363796987,1,0,0
image216.jpg,"(1400, 2261)",2,0,"(621, 696)",0.3546913108972088,0.049993049851519554,0,0,0
image216.jpg,"(1400, 2261)",2,1,"(0, 0)",0,-1,0,0,0
image246.jpg,"(683, 1024)",1,0,"(0, 0)",0,-1,0,0,0
